author,number_commits,avg_fix_distance,avg_find_bug_time,avg_fix_bug_time
Wesley Yung,1,0.0,0.0,0.0
Wesley Post,1,0.0,0.0,0.0
Wesley PA4WDH,1,0.0,0.0,0.0
Wesley Kuo,1,0.0,0.0,0.0
Werner Pawlitschko,1,0.0,0.0,0.0
Wen Yaxng,1,0.0,0.0,0.0
Wen Shi,1,1.4,12634.2,21056.0
Wenqi Ma,1,0.0,0.0,0.0
Wenjia Zhang,1,0.0,0.0,0.0
Wenhua Shi,1,0.0,0.0,0.0
Weng Xuetian,1,0.0,0.0,0.0
wendy xiong,1,0.0,0.0,0.0
Wending Weng,1,0.0,0.0,0.0
Wenbing Wang,1,0.0,0.0,0.0
Wei Yongquan,1,0.0,0.0,0.0
Weixing Shi,1,0.0,0.0,0.0
Weixiao Zhang,1,0.0,0.0,0.0
Weiwei Wang,1,0.0,0.0,0.0
Wei Song,1,0.0,0.0,0.0
Wei Qiao,1,0.0,0.0,0.0
Weinn Jheng,1,0.0,0.0,0.0
Wei Lu,1,0.0,0.0,0.0
Weikang Shi,1,0.0,0.0,0.0
weijun yang,1,0.0,0.0,0.0
Wei Jinhua,1,0.0,0.0,0.0
Weijie Gao,1,0.0,0.0,0.0
Wayne Thomas,1,0.0,0.0,0.0
Warren Free,1,0.0,0.0,0.0
Warner Wang,1,0.0,0.0,0.0
wanpeng li,1,0.0,0.0,0.0
Wang Zhi,1,0.0,0.0,0.0
Wangzhao Cai,1,0.0,0.0,0.0
Wang Xin,1,0.0,0.0,0.0
Wang Xibo,1,0.0,0.0,0.0
Wang Tianhong,1,0.0,0.0,0.0
Wang Shenran,1,0.0,0.0,0.0
Wang Shanker,1,0.0,0.0,0.0
Wang Sen,1,0.0,0.0,0.0
Wang Qiang,1,0.0,0.0,0.0
Wang Li,1,0.0,0.0,0.0
Wanglai Shi,1,0.0,0.0,0.0
Wang Jun,1,0.0,0.0,0.0
Wang Hui,1,0.0,0.0,0.0
Wang Haitao,1,0.0,0.0,0.0
Wang Guoli,1,0.0,0.0,0.0
Wang Di,1,0.0,0.0,0.0
Wang Cong,1,0.0,0.0,0.0
Wandrille RONCE,1,0.0,0.0,0.0
Walter Wu,4,0.0,0.0,0.0
Walter Sheets,1,0.0,0.0,0.0
Walter Schweizer,1,0.0,0.0,0.0
Walter Mack,1,0.0,0.0,0.0
Walter Goldens,1,0.0,0.0,0.0
